date,capacity_percent,source
2023-01-15,99.4,synthetic_health_sample
2023-02-09,99.0,synthetic_health_sample
2023-03-04,98.6,synthetic_health_sample
2023-03-31,98.2,synthetic_health_sample
2023-04-25,97.7,synthetic_health_sample
2023-05-20,97.3,synthetic_health_sample
2023-06-16,96.9,synthetic_health_sample
2023-07-12,96.3,synthetic_health_sample
2023-08-08,96.0,synthetic_health_sample
2023-09-02,95.5,synthetic_health_sample
2023-09-29,95.2,synthetic_health_sample
2023-10-24,94.7,synthetic_health_sample
2023-11-19,94.3,synthetic_health_sample
2023-12-15,94.1,synthetic_health_sample
2024-01-11,93.6,synthetic_health_sample
2024-02-06,93.1,synthetic_health_sample
2024-03-03,93.3,synthetic_health_sample
2024-03-30,92.6,synthetic_health_sample
2024-04-26,92.1,synthetic_health_sample
2024-05-22,91.4,synthetic_health_sample
2024-06-18,90.9,synthetic_health_sample
2024-07-14,90.1,synthetic_health_sample
2024-08-10,89.7,synthetic_health_sample
2024-09-05,88.9,synthetic_health_sample
2024-10-01,88.2,synthetic_health_sample
2024-10-28,87.6,synthetic_health_sample
2024-11-23,86.9,synthetic_health_sample
2024-12-20,86.2,synthetic_health_sample
2025-01-16,85.5,synthetic_health_sample
2025-02-11,84.8,synthetic_health_sample
2025-03-10,84.2,synthetic_health_sample
2025-04-06,83.4,synthetic_health_sample
2025-05-02,82.7,synthetic_health_sample
2025-05-29,82.1,synthetic_health_sample
2025-06-25,81.3,synthetic_health_sample
2025-07-21,80.6,synthetic_health_sample
2025-08-17,79.9,synthetic_health_sample
2025-09-13,79.2,synthetic_health_sample
2025-10-10,78.6,synthetic_health_sample
2025-11-05,77.8,synthetic_health_sample
2025-12-02,77.2,synthetic_health_sample
