date,capacity_percent,source
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-29,98.00,windows_win32_charge_fallback
2026-05-30,98.00,windows_win32_charge_fallback
2026-05-30,98.00,windows_win32_charge_fallback
2026-05-30,98.00,windows_win32_charge_fallback
2026-05-30,98.00,windows_win32_charge_fallback
2026-05-30,98.00,windows_win32_charge_fallback
2026-05-30,97.00,windows_win32_charge_fallback
2026-05-30,97.00,windows_win32_charge_fallback
2026-05-30,96.00,windows_win32_charge_fallback
2026-05-30,96.00,windows_win32_charge_fallback
2026-05-30,96.00,windows_win32_charge_fallback
2026-05-30,95.00,windows_win32_charge_fallback
2026-05-30,95.00,windows_win32_charge_fallback
2026-05-30,95.00,windows_win32_charge_fallback
2026-05-30,94.00,windows_win32_charge_fallback
2026-05-30,94.00,windows_win32_charge_fallback
2026-05-30,93.00,windows_win32_charge_fallback
2026-05-30,93.00,windows_win32_charge_fallback
2026-05-30,93.00,windows_win32_charge_fallback
2026-05-30,92.00,windows_win32_charge_fallback
2026-05-30,92.00,windows_win32_charge_fallback
2026-05-30,91.00,windows_win32_charge_fallback
2026-05-30,91.00,windows_win32_charge_fallback
2026-05-30,91.00,windows_win32_charge_fallback
2026-05-30,90.00,windows_win32_charge_fallback
2026-05-30,90.00,windows_win32_charge_fallback
2026-05-30,89.00,windows_win32_charge_fallback
2026-05-30,89.00,windows_win32_charge_fallback
2026-05-30,89.00,windows_win32_charge_fallback
2026-05-30,88.00,windows_win32_charge_fallback
2026-05-30,88.00,windows_win32_charge_fallback
2026-05-30,88.00,windows_win32_charge_fallback
2026-05-30,87.00,windows_win32_charge_fallback
2026-05-30,87.00,windows_win32_charge_fallback
2026-05-30,86.00,windows_win32_charge_fallback
2026-05-30,86.00,windows_win32_charge_fallback
2026-05-30,86.00,windows_win32_charge_fallback
2026-05-30,85.00,windows_win32_charge_fallback
2026-05-30,85.00,windows_win32_charge_fallback
2026-05-30,84.00,windows_win32_charge_fallback
2026-05-30,84.00,windows_win32_charge_fallback
2026-05-30,84.00,windows_win32_charge_fallback
2026-05-30,83.00,windows_win32_charge_fallback
2026-05-30,83.00,windows_win32_charge_fallback
2026-05-30,82.00,windows_win32_charge_fallback
2026-05-30,82.00,windows_win32_charge_fallback
2026-05-30,82.00,windows_win32_charge_fallback
2026-05-30,81.00,windows_win32_charge_fallback
2026-05-30,81.00,windows_win32_charge_fallback
2026-05-30,81.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
2026-05-30,80.00,windows_win32_charge_fallback
