Test Index / 1,Test Time / s,Voltage / V,Current / A,Cycle Count / 1,Step Count / 1,Step Capacity / Ah,Step Energy / Wh,Power / W
1,0.0,3.783,0.0,0,1,0.0,0.0,0.0
2,1.0,3.783,0.0,0,1,0.0,0.0,0.0
3,2.0,3.784,0.0,0,1,0.0,0.0,0.0
4,3.0,3.783,0.0,0,1,0.0,0.0,0.0
5,4.0,3.784,0.0,0,1,0.0,0.0,0.0
6,5.0,3.783,0.0,0,1,0.0,0.0,0.0
7,6.0,3.784,0.0,0,1,0.0,0.0,0.0
8,7.0,3.783,0.0,0,1,0.0,0.0,0.0
9,8.0,3.784,0.0,0,1,0.0,0.0,0.0
10,9.0,3.783,0.0,0,1,0.0,0.0,0.0
11,10.0,3.784,0.0,0,1,0.0,0.0,0.0
12,10.01,3.784,0.0,0,5,0.0,0.0,0.0
13,130.01,3.784,0.0,0,5,0.0,0.0,0.0
14,250.01,3.783,0.0,0,5,0.0,0.0,0.0
15,370.01,3.783,0.0,0,5,0.0,0.0,0.0
16,490.01,3.783,0.0,0,5,0.0,0.0,0.0
17,610.0,3.784,0.0,0,5,0.0,0.0,0.0
18,610.05,3.77,-0.302,0,6,0.0,0.0,1.1396
19,615.05,3.767,-0.3,0,6,0.0004,0.0016,1.1304
20,620.0,3.766,-0.3,0,6,0.0008,0.0031,1.1292
21,620.03,3.649,-3.0,0,7,0.0009,0.0032,10.9493
22,621.0,3.628,-3.0,0,7,0.0017,0.0062,10.8854
23,621.03,3.745,-0.3,0,8,0.0017,0.0062,1.1225
24,626.03,3.764,-0.3,0,8,0.0021,0.0077,1.1291
25,631.0,3.764,-0.3,0,8,0.0025,0.0093,1.1285
26,631.01,3.775,0.0,0,9,0.0025,0.0093,0.0
27,636.01,3.78,0.0,0,9,0.0025,0.0093,0.0
28,641.0,3.78,0.0,0,9,0.0025,0.0093,0.0
29,641.05,3.74,-0.903,0,10,0.0,0.0,3.3762
30,699.26,3.72,-0.9,0,10,0.0146,0.0542,3.3479
31,819.26,3.71,-0.9,0,10,0.0446,0.1657,3.3384
32,939.26,3.703,-0.9,0,10,0.0746,0.2769,3.3325
33,1059.26,3.696,-0.9,0,10,0.1046,0.3878,3.3264
34,1179.26,3.691,-0.9,0,10,0.1346,0.4986,3.3217
35,1299.26,3.685,-0.9,0,10,0.1646,0.6093,3.316
36,1419.26,3.678,-0.9,0,10,0.1945,0.7197,3.3106
37,1539.26,3.672,-0.9,0,10,0.2245,0.83,3.3041
38,1659.26,3.664,-0.9,0,10,0.2545,0.94,3.2977
39,1779.26,3.656,-0.9,0,10,0.2845,1.0498,3.2897
40,1899.26,3.648,-0.9,0,10,0.3145,1.1594,3.2823
41,2019.26,3.64,-0.9,0,10,0.3445,1.2687,3.2755
