date,capacity_percent,source
2026-05-30 12:15:34,80.00,windows_win32_charge_fallback
2026-05-30 12:16:35,80.00,windows_win32_charge_fallback
2026-05-30 12:17:36,80.00,windows_win32_charge_fallback
2026-05-30 12:18:38,80.00,windows_win32_charge_fallback
2026-05-30 12:19:39,80.00,windows_win32_charge_fallback
2026-05-30 12:20:40,80.00,windows_win32_charge_fallback
2026-05-30 12:21:41,80.00,windows_win32_charge_fallback
2026-05-30 12:22:43,80.00,windows_win32_charge_fallback
2026-05-30 12:23:44,80.00,windows_win32_charge_fallback
2026-05-30 12:24:45,80.00,windows_win32_charge_fallback
2026-05-30 12:25:46,80.00,windows_win32_charge_fallback
2026-05-30 12:26:48,80.00,windows_win32_charge_fallback
2026-05-30 12:27:49,80.00,windows_win32_charge_fallback
2026-05-30 12:28:50,80.00,windows_win32_charge_fallback
2026-05-30 12:29:51,80.00,windows_win32_charge_fallback
2026-05-30 12:30:53,80.00,windows_win32_charge_fallback
2026-05-30 12:31:54,80.00,windows_win32_charge_fallback
2026-05-30 12:32:55,80.00,windows_win32_charge_fallback
2026-05-30 12:33:57,80.00,windows_win32_charge_fallback
2026-05-30 12:34:58,80.00,windows_win32_charge_fallback
2026-05-30 12:35:59,80.00,windows_win32_charge_fallback
2026-05-30 12:37:00,80.00,windows_win32_charge_fallback
2026-05-30 12:38:02,80.00,windows_win32_charge_fallback
2026-05-30 12:39:03,80.00,windows_win32_charge_fallback
2026-05-30 12:40:04,80.00,windows_win32_charge_fallback
2026-05-30 12:41:05,80.00,windows_win32_charge_fallback
2026-05-30 12:42:07,80.00,windows_win32_charge_fallback
2026-05-30 12:43:08,80.00,windows_win32_charge_fallback
2026-05-30 12:44:09,80.00,windows_win32_charge_fallback
2026-05-30 12:45:10,80.00,windows_win32_charge_fallback
2026-05-30 12:46:12,80.00,windows_win32_charge_fallback
2026-05-30 12:47:13,80.00,windows_win32_charge_fallback
2026-05-30 12:48:14,80.00,windows_win32_charge_fallback
2026-05-30 12:49:15,80.00,windows_win32_charge_fallback
2026-05-30 12:50:16,80.00,windows_win32_charge_fallback
2026-05-30 12:51:18,80.00,windows_win32_charge_fallback
2026-05-30 12:52:19,80.00,windows_win32_charge_fallback
2026-05-30 12:53:20,80.00,windows_win32_charge_fallback
2026-05-30 12:54:21,80.00,windows_win32_charge_fallback
2026-05-30 12:55:23,80.00,windows_win32_charge_fallback
2026-05-30 12:56:24,80.00,windows_win32_charge_fallback
2026-05-30 12:57:25,80.00,windows_win32_charge_fallback
2026-05-30 12:58:26,80.00,windows_win32_charge_fallback
2026-05-30 12:59:27,80.00,windows_win32_charge_fallback
2026-05-30 13:00:29,80.00,windows_win32_charge_fallback
2026-05-30 13:01:30,80.00,windows_win32_charge_fallback
2026-05-30 13:02:31,80.00,windows_win32_charge_fallback
2026-05-30 13:03:32,80.00,windows_win32_charge_fallback
2026-05-30 13:04:34,80.00,windows_win32_charge_fallback
2026-05-30 13:05:35,80.00,windows_win32_charge_fallback
2026-05-30 13:06:36,80.00,windows_win32_charge_fallback
2026-05-30 13:07:37,80.00,windows_win32_charge_fallback
2026-05-30 13:08:38,80.00,windows_win32_charge_fallback
2026-05-30 13:09:40,80.00,windows_win32_charge_fallback
2026-05-30 13:10:41,80.00,windows_win32_charge_fallback
2026-05-30 13:11:42,80.00,windows_win32_charge_fallback
2026-05-30 13:12:43,80.00,windows_win32_charge_fallback
2026-05-30 13:13:45,80.00,windows_win32_charge_fallback
2026-05-30 13:14:46,80.00,windows_win32_charge_fallback
2026-05-30 13:15:47,80.00,windows_win32_charge_fallback
2026-05-30 13:16:49,80.00,windows_win32_charge_fallback
2026-05-30 13:17:50,80.00,windows_win32_charge_fallback
2026-05-30 13:18:51,80.00,windows_win32_charge_fallback
2026-05-30 13:19:52,80.00,windows_win32_charge_fallback
2026-05-30 13:20:54,80.00,windows_win32_charge_fallback
2026-05-30 13:21:55,80.00,windows_win32_charge_fallback
2026-05-30 13:22:56,80.00,windows_win32_charge_fallback
2026-05-30 13:23:57,80.00,windows_win32_charge_fallback
2026-05-30 13:24:59,80.00,windows_win32_charge_fallback
2026-05-30 13:26:00,80.00,windows_win32_charge_fallback
2026-05-30 13:27:01,80.00,windows_win32_charge_fallback
2026-05-30 13:28:02,80.00,windows_win32_charge_fallback
2026-05-30 13:29:04,80.00,windows_win32_charge_fallback
2026-05-30 13:30:05,80.00,windows_win32_charge_fallback
2026-05-30 13:31:06,80.00,windows_win32_charge_fallback
2026-05-30 13:32:07,80.00,windows_win32_charge_fallback
2026-05-30 13:33:09,80.00,windows_win32_charge_fallback
2026-05-30 13:34:10,80.00,windows_win32_charge_fallback
2026-05-30 13:35:11,80.00,windows_win32_charge_fallback
2026-05-30 13:36:12,80.00,windows_win32_charge_fallback
2026-05-30 13:37:14,80.00,windows_win32_charge_fallback
2026-05-30 13:38:15,80.00,windows_win32_charge_fallback
2026-05-30 13:39:16,80.00,windows_win32_charge_fallback
2026-05-30 13:40:17,80.00,windows_win32_charge_fallback
2026-05-30 13:41:19,80.00,windows_win32_charge_fallback
2026-05-30 13:42:20,80.00,windows_win32_charge_fallback
