Test Time / s,Unix Time / s,Voltage / V,Current / A,Cycle Count / 1,Capacity / %,Power / W,Ambient Temperature / degC
0.0,1760000000,3.9373,0.0625,0,99.0,0.2459,28.0706
60.0,1760000060,3.934,0.0495,0,98.9161,0.1946,27.826
120.0,1760000120,3.9436,0.1285,0,99.0,0.5066,28.143
180.0,1760000180,3.941,-0.0322,0,99.0,-0.1267,27.8267
240.0,1760000240,3.9043,0.047,0,98.8402,0.1836,28.3152
300.0,1760000300,3.9398,0.0522,0,98.8909,0.2057,28.6376
360.0,1760000360,3.9249,-0.0083,0,99.0,-0.0327,28.1638
420.0,1760000420,3.9205,0.1584,0,98.9673,0.6209,28.0701
480.0,1760000480,3.9329,0.1068,1,98.99,0.42,27.6591
540.0,1760000540,3.9385,0.1722,1,98.9217,0.6783,27.8914
600.0,1760000600,3.9183,0.2681,1,99.0,1.0506,28.626
660.0,1760000660,3.9417,0.1473,1,99.0,0.5807,28.0226
720.0,1760000720,3.9422,0.1587,1,98.991,0.6258,28.1734
780.0,1760000780,3.935,0.2005,1,99.0,0.7889,28.4221
840.0,1760000840,3.9258,0.2586,1,99.0,1.0153,28.644
900.0,1760000900,3.9242,0.1956,2,98.9124,0.7674,28.2672
960.0,1760000960,3.9446,0.2069,2,99.0,0.8162,28.2453
1020.0,1760001020,3.9186,0.3058,2,98.9012,1.1985,28.4298
1080.0,1760001080,3.9448,0.2864,2,99.0,1.1296,28.2843
1140.0,1760001140,3.9322,0.1796,2,98.9705,0.706,28.2197
1200.0,1760001200,3.9327,0.2348,2,98.958,0.9234,28.471
1260.0,1760001260,3.9163,0.3853,2,98.9165,1.5091,28.5561
1320.0,1760001320,3.9322,0.3445,3,99.0,1.3546,28.9227
1380.0,1760001380,3.9395,0.3003,3,98.955,1.1831,28.5588
1440.0,1760001440,3.9197,0.3438,3,98.9312,1.3477,28.7461
1500.0,1760001500,3.938,0.3668,3,98.9353,1.4446,28.33
1560.0,1760001560,3.934,0.4167,3,99.0,1.6393,28.6991
1620.0,1760001620,3.9265,0.3256,3,98.9887,1.2785,28.3866
1680.0,1760001680,3.9414,0.365,3,98.9904,1.4386,28.6517
