Test Time / s,Unix Time / s,Voltage / V,Current / A,Cycle Count / 1,Capacity / %,Power / W,Ambient Temperature / degC
0.0,1760000000,3.961,0.0276,0,98.5,0.1094,28.0622
30.0,1760000030,3.9167,0.1032,0,98.4531,0.404,28.0444
60.0,1760000060,3.9443,0.1654,0,98.5,0.6524,28.0019
90.0,1760000090,3.9352,0.0906,1,98.3661,0.3564,28.1516
120.0,1760000120,3.9414,0.0945,1,98.5,0.3725,28.0692
150.0,1760000150,3.9304,0.1608,1,98.4782,0.6321,28.5715
180.0,1760000180,3.931,0.2721,2,98.4585,1.0695,28.0589
210.0,1760000210,3.9237,0.3463,2,98.5,1.3587,28.598
240.0,1760000240,3.9368,0.29,2,98.3351,1.1415,28.881
270.0,1760000270,3.9278,0.3907,3,98.3983,1.5347,28.4202
300.0,1760000300,3.9299,0.322,3,98.4642,1.2655,28.1685
330.0,1760000330,3.9253,0.3846,3,98.5,1.5095,28.6384
360.0,1760000360,3.94,0.509,4,98.4721,2.0056,28.9545
390.0,1760000390,3.9269,0.4494,4,98.5,1.7647,28.7943
420.0,1760000420,3.9117,0.5174,4,98.3065,2.0241,28.4748
450.0,1760000450,3.9281,0.5409,5,98.3513,2.1247,28.9507
480.0,1760000480,3.9289,0.532,5,98.5,2.09,28.9659
510.0,1760000510,3.9161,0.5569,5,98.3887,2.1809,29.0971
540.0,1760000540,3.9436,0.5838,6,98.4278,2.3023,28.7798
570.0,1760000570,3.9253,0.6514,6,98.4847,2.5569,28.9118
600.0,1760000600,3.9294,0.6404,7,98.2429,2.5165,28.9377
630.0,1760000630,3.9269,0.7069,7,98.3159,2.7761,29.0549
660.0,1760000660,3.9173,0.6883,7,98.3967,2.6963,29.4309
690.0,1760000690,3.9381,0.794,8,98.2724,3.1269,29.0737
720.0,1760000720,3.9443,0.7193,8,98.3307,2.8372,29.2553
750.0,1760000750,3.924,0.7493,8,98.3752,2.9401,28.9819
780.0,1760000780,3.9278,0.6697,9,98.316,2.6306,29.245
810.0,1760000810,3.9169,0.807,9,98.3379,3.1608,29.1636
840.0,1760000840,3.928,0.7142,9,98.3525,2.8056,28.9021
870.0,1760000870,3.9112,0.8277,10,98.445,3.2372,29.3374
900.0,1760000900,3.9333,0.8649,10,98.4538,3.4017,29.4422
930.0,1760000930,3.9066,0.8977,10,98.2844,3.5069,29.4341
960.0,1760000960,3.9143,0.8638,11,98.2378,3.3813,28.9888
990.0,1760000990,3.9234,0.9201,11,98.3628,3.6098,29.3649
1020.0,1760001020,3.9209,0.9465,11,98.3197,3.711,29.2925
1050.0,1760001050,3.9167,0.868,12,98.2856,3.3996,29.7436
1080.0,1760001080,3.935,0.9086,12,98.1794,3.5754,29.5084
1110.0,1760001110,3.8992,0.9666,12,98.2896,3.769,29.8447
1140.0,1760001140,3.8961,0.9146,13,98.2933,3.5634,29.8771
1170.0,1760001170,3.9161,0.8819,13,98.0659,3.4535,29.4526
1200.0,1760001200,3.8862,0.8424,14,98.2749,3.2739,29.7648
1230.0,1760001230,3.9034,0.9108,14,98.1721,3.5551,29.6456
1260.0,1760001260,3.9038,0.8632,14,98.1025,3.37,29.7811
1290.0,1760001290,3.9021,0.8823,15,98.0196,3.4427,29.8452
1320.0,1760001320,3.9208,0.8425,15,98.1018,3.3034,29.7266
1350.0,1760001350,3.8959,0.7229,15,98.1073,2.8162,29.1673
1380.0,1760001380,3.9003,0.8293,16,98.065,3.2346,30.0744
1410.0,1760001410,3.8925,0.7302,16,97.9811,2.8424,29.8407
1440.0,1760001440,3.8934,0.8389,16,97.964,3.266,29.5712
1470.0,1760001470,3.8947,0.7393,17,98.098,2.8792,29.6761
1500.0,1760001500,3.9005,0.7705,17,98.0271,3.0055,29.3147
1530.0,1760001530,3.8907,0.7717,17,98.0276,3.0024,29.8623
1560.0,1760001560,3.8876,0.764,18,98.0364,2.9702,30.2201
1590.0,1760001590,3.8964,0.6286,18,98.0246,2.4494,29.9389
1620.0,1760001620,3.8856,0.7306,18,98.087,2.839,30.0681
1650.0,1760001650,3.8948,0.5873,19,97.9233,2.2873,29.9703
1680.0,1760001680,3.8976,0.6094,19,97.889,2.3753,29.8192
1710.0,1760001710,3.8842,0.6493,19,97.8137,2.5221,29.5541
1740.0,1760001740,3.8807,0.5711,20,97.8908,2.2163,29.7783
1770.0,1760001770,3.8903,0.4956,20,97.8725,1.928,29.5306
1800.0,1760001800,3.8828,0.49,21,97.7711,1.9027,29.7362
1830.0,1760001830,3.8589,0.6509,21,97.8097,2.5118,29.8571
1860.0,1760001860,3.8773,0.5022,21,97.7913,1.9472,29.8487
1890.0,1760001890,3.8935,0.4792,22,98.0664,1.8657,29.8545
1920.0,1760001920,3.8644,0.2932,22,97.713,1.1332,29.6104
1950.0,1760001950,3.8957,0.3439,22,97.8341,1.3398,29.6809
1980.0,1760001980,3.8632,0.3666,23,97.7477,1.4164,29.6095
2010.0,1760002010,3.8648,0.3903,23,97.6887,1.5083,29.7244
2040.0,1760002040,3.8842,0.2513,23,97.7097,0.976,29.9146
2070.0,1760002070,3.8654,0.1432,24,97.6868,0.5534,29.5287
2100.0,1760002100,3.8842,0.1476,24,97.637,0.5733,29.7673
2130.0,1760002130,3.871,0.1652,24,97.6011,0.6393,29.8002
2160.0,1760002160,3.8608,0.0511,25,97.5728,0.1973,29.3604
2190.0,1760002190,3.8573,0.0784,25,97.5539,0.3024,29.5341
2220.0,1760002220,3.8679,0.0039,25,97.5893,0.015,29.8098
2250.0,1760002250,3.8578,-0.0477,26,97.5401,-0.184,29.6746
2280.0,1760002280,3.8756,-0.0451,26,97.6094,-0.1746,29.6924
2310.0,1760002310,3.867,-0.0121,26,97.6257,-0.0468,29.4647
2340.0,1760002340,3.8527,-0.0969,27,97.4943,-0.3734,29.5578
2370.0,1760002370,3.8546,-0.2786,27,97.4586,-1.0739,29.6131
2400.0,1760002400,3.8614,-0.1484,28,97.5722,-0.5729,29.8644
2430.0,1760002430,3.8542,-0.3161,28,97.4453,-1.2182,29.5215
2460.0,1760002460,3.8616,-0.2111,28,97.4526,-0.8154,30.0634
2490.0,1760002490,3.868,-0.2961,29,97.3901,-1.1453,29.8484
2520.0,1760002520,3.8625,-0.3968,29,97.4171,-1.5326,30.0919
2550.0,1760002550,3.8473,-0.3735,29,97.4959,-1.4371,30.1417
2580.0,1760002580,3.8484,-0.4375,30,97.4503,-1.6838,30.5051
2610.0,1760002610,3.8638,-0.5404,30,97.2779,-2.088,30.3294
2640.0,1760002640,3.8638,-0.5421,30,97.2844,-2.0947,30.4428
2670.0,1760002670,3.8533,-0.594,31,97.3073,-2.2887,30.2264
2700.0,1760002700,3.8682,-0.4904,31,97.3036,-1.897,30.5681
2730.0,1760002730,3.8433,-0.5804,31,97.3722,-2.2307,30.1195
2760.0,1760002760,3.8469,-0.5992,32,97.1345,-2.3052,30.4339
2790.0,1760002790,3.8603,-0.5562,32,97.3971,-2.1473,30.627
2820.0,1760002820,3.8423,-0.6024,32,97.1915,-2.3147,30.492
2850.0,1760002850,3.8457,-0.6959,33,97.3564,-2.6762,30.5424
2880.0,1760002880,3.8595,-0.7743,33,97.1629,-2.9883,30.6074
2910.0,1760002910,3.8439,-0.7496,33,97.238,-2.8814,30.6372
2940.0,1760002940,3.8474,-0.692,34,97.3147,-2.6625,30.6589
2970.0,1760002970,3.8521,-0.7148,34,97.2398,-2.7537,30.5285
3000.0,1760003000,3.8485,-0.7899,35,97.3222,-3.04,30.7771
3030.0,1760003030,3.8535,-0.8573,35,97.4217,-3.3036,30.3193
3060.0,1760003060,3.8556,-0.8935,35,97.1718,-3.4448,30.5776
3090.0,1760003090,3.8678,-0.7542,36,97.1282,-2.9172,30.3227
3120.0,1760003120,3.8404,-0.8738,36,97.1058,-3.3559,30.616
3150.0,1760003150,3.8726,-0.831,36,97.0723,-3.2182,30.8602
3180.0,1760003180,3.8512,-0.8189,37,97.1645,-3.1536,30.7013
3210.0,1760003210,3.841,-0.857,37,97.0524,-3.2916,30.7468
3240.0,1760003240,3.8369,-0.8597,37,96.9624,-3.2986,30.9436
3270.0,1760003270,3.8625,-0.8591,38,97.1171,-3.3182,30.7776
3300.0,1760003300,3.8433,-0.8715,38,97.2923,-3.3493,30.4224
3330.0,1760003330,3.8494,-0.969,38,97.1796,-3.7299,30.451
3360.0,1760003360,3.8422,-0.8786,39,97.0503,-3.3758,30.411
3390.0,1760003390,3.8379,-0.911,39,97.0782,-3.4963,30.5801
3420.0,1760003420,3.8406,-0.9016,39,97.2084,-3.4629,31.2002
3450.0,1760003450,3.842,-0.911,40,97.1558,-3.5002,30.6005
3480.0,1760003480,3.8588,-1.0198,40,97.1019,-3.9352,31.0036
3510.0,1760003510,3.8477,-0.8764,40,97.2202,-3.3722,30.4521
3540.0,1760003540,3.8424,-0.839,41,97.1502,-3.2237,30.8403
3570.0,1760003570,3.8328,-0.7114,41,97.0908,-2.7266,30.3399
3600.0,1760003600,3.8528,-0.9754,42,97.1174,-3.7578,30.5589
3630.0,1760003630,3.8598,-0.7956,42,97.1384,-3.0708,30.5623
3660.0,1760003660,3.8317,-0.7596,42,97.2114,-2.9105,30.4723
3690.0,1760003690,3.8421,-0.8583,43,97.0183,-3.2977,30.1258
3720.0,1760003720,3.8495,-0.7649,43,97.0897,-2.9446,30.2656
3750.0,1760003750,3.868,-0.7845,43,97.0727,-3.0345,30.6734
3780.0,1760003780,3.8683,-0.7811,44,96.931,-3.0215,30.5739
3810.0,1760003810,3.8374,-0.6974,44,97.0328,-2.6763,30.7393
3840.0,1760003840,3.8605,-0.6853,44,96.9534,-2.6456,30.3046
3870.0,1760003870,3.8573,-0.7184,45,97.0852,-2.771,30.3067
3900.0,1760003900,3.8574,-0.6727,45,97.0555,-2.5948,30.5617
3930.0,1760003930,3.8525,-0.6236,45,97.0886,-2.4024,30.4595
3960.0,1760003960,3.8522,-0.5835,46,97.0805,-2.2479,30.4987
3990.0,1760003990,3.8513,-0.5576,46,96.9249,-2.1473,30.5676
4020.0,1760004020,3.8521,-0.4746,46,97.0463,-1.8281,30.2087
4050.0,1760004050,3.8675,-0.5403,47,97.0766,-2.0897,30.5865
4080.0,1760004080,3.864,-0.5277,47,97.1087,-2.039,30.6255
4110.0,1760004110,3.8651,-0.4674,47,97.0285,-1.8065,30.0371
4140.0,1760004140,3.8593,-0.4663,48,96.9716,-1.7998,30.1857
4170.0,1760004170,3.8658,-0.3302,48,97.0307,-1.2765,30.4245
4200.0,1760004200,3.8647,-0.3165,49,97.1102,-1.2233,30.599
4230.0,1760004230,3.8772,-0.2952,49,97.0138,-1.1445,29.9393
4260.0,1760004260,3.8541,-0.4048,49,96.8511,-1.5601,30.4162
4290.0,1760004290,3.8737,-0.2376,50,97.0166,-0.9205,30.1922
4320.0,1760004320,3.8657,-0.2698,50,96.9708,-1.0431,30.2272
4350.0,1760004350,3.869,-0.2439,50,96.9586,-0.9435,30.4131
4380.0,1760004380,3.8755,-0.1989,51,96.9136,-0.7707,30.1569
4410.0,1760004410,3.8541,-0.2033,51,96.9392,-0.7834,30.4276
4440.0,1760004440,3.8744,-0.1009,51,96.9328,-0.391,30.1745
4470.0,1760004470,3.8628,-0.0796,52,96.7986,-0.3077,29.9985
4500.0,1760004500,3.8847,0.0927,52,96.9652,0.3603,29.9299
4530.0,1760004530,3.8748,0.0258,52,96.8652,0.1001,30.1259
4560.0,1760004560,3.8747,-0.044,53,96.8652,-0.1707,29.8527
4590.0,1760004590,3.8809,0.0701,53,96.8311,0.272,29.9464
4620.0,1760004620,3.8787,0.1209,53,96.9623,0.4688,29.8828
4650.0,1760004650,3.8651,0.2206,54,96.9164,0.8528,30.0474
4680.0,1760004680,3.8689,0.2033,54,96.9376,0.7866,29.9752
4710.0,1760004710,3.87,0.3038,54,96.7804,1.1758,30.2449
4740.0,1760004740,3.8805,0.2396,55,96.6797,0.9299,30.0626
4770.0,1760004770,3.8875,0.3115,55,96.7507,1.2111,30.3612
4800.0,1760004800,3.8765,0.3775,56,96.8477,1.4634,30.0436
4830.0,1760004830,3.8787,0.2842,56,96.842,1.1022,30.0799
4860.0,1760004860,3.8985,0.3781,56,96.6561,1.4739,30.3992
4890.0,1760004890,3.8648,0.4713,57,96.8089,1.8215,29.983
4920.0,1760004920,3.8786,0.4236,57,96.5759,1.6431,30.1777
4950.0,1760004950,3.8899,0.4414,57,96.6641,1.7171,30.2345
4980.0,1760004980,3.9011,0.519,58,96.6628,2.0246,30.4765
5010.0,1760005010,3.8848,0.7012,58,96.7547,2.724,30.4049
5040.0,1760005040,3.8863,0.6573,58,96.4671,2.5543,30.5763
5070.0,1760005070,3.8925,0.6196,59,96.4801,2.4117,30.1576
5100.0,1760005100,3.8995,0.6647,59,96.3948,2.5918,29.747
5130.0,1760005130,3.8748,0.6881,59,96.479,2.6661,29.9911
5160.0,1760005160,3.9054,0.7212,60,96.377,2.8165,29.9617
5190.0,1760005190,3.9025,0.7228,60,96.5502,2.8208,30.3502
5220.0,1760005220,3.9093,0.7851,60,96.4056,3.069,30.4384
5250.0,1760005250,3.8999,0.7768,61,96.4235,3.0293,30.1377
5280.0,1760005280,3.9024,0.8967,61,96.6243,3.4991,30.194
5310.0,1760005310,3.9005,0.8229,62,96.4771,3.2098,30.1863
5340.0,1760005340,3.9136,0.8227,62,96.3744,3.2196,30.1907
5370.0,1760005370,3.9048,0.8099,62,96.4414,3.1625,30.1564
5400.0,1760005400,3.9106,0.8534,63,96.4286,3.3374,29.7743
5430.0,1760005430,3.9064,0.8656,63,96.4539,3.3813,30.2634
5460.0,1760005460,3.8972,0.9335,63,96.279,3.6381,30.0776
5490.0,1760005490,3.8921,0.919,64,96.3391,3.5767,30.4284
5520.0,1760005520,3.8912,0.8706,64,96.2974,3.3876,30.1052
5550.0,1760005550,3.912,0.8252,64,96.2704,3.2283,30.3753
5580.0,1760005580,3.9094,0.9138,65,96.2238,3.5723,30.3086
5610.0,1760005610,3.9202,0.9347,65,96.3053,3.6642,30.0076
5640.0,1760005640,3.9035,0.9735,65,96.2789,3.8001,30.0059
5670.0,1760005670,3.9067,0.8914,66,96.0734,3.4823,29.8876
5700.0,1760005700,3.9105,0.8584,66,96.1232,3.357,29.9867
5730.0,1760005730,3.9083,0.8955,66,96.1532,3.5001,29.9147
5760.0,1760005760,3.9232,0.9533,67,96.207,3.74,29.9511
5790.0,1760005790,3.9061,0.8607,67,96.1434,3.362,29.6755
5820.0,1760005820,3.9185,0.8813,67,96.1759,3.4532,30.1291
5850.0,1760005850,3.9056,0.8734,68,96.0727,3.4111,30.0529
5880.0,1760005880,3.9163,0.8221,68,96.0286,3.2195,29.7337
5910.0,1760005910,3.9151,0.8528,69,96.0687,3.3389,30.0705
5940.0,1760005940,3.9063,0.8529,69,96.1437,3.3316,29.8638
5970.0,1760005970,3.9076,0.8366,69,95.9666,3.2692,29.8913
6000.0,1760006000,3.9244,0.792,70,95.9714,3.1082,29.9979
6030.0,1760006030,3.9262,0.7617,70,95.9293,2.9906,29.8517
6060.0,1760006060,3.9232,0.7472,70,95.9625,2.9315,29.7841
6090.0,1760006090,3.9149,0.7162,71,96.0337,2.8038,30.1325
6120.0,1760006120,3.9188,0.7919,71,95.9408,3.1032,29.3631
